rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-77,-79,-63,-81,-87,-77,-82,-87,-91,-73,-94,-91,0,3,K-11
-78,-79,-57,-91,-81,-87,-81,-95,-93,-84,-89,-99,0,3,K-11
-73,-81,-72,-83,-82,-81,-88,-82,-82,-82,-98,-93,0,3,K-11
-71,-89,-58,-94,-84,-84,-81,-82,-89,-74,-89,-90,0,3,K-11
-88,-78,-73,-86,-82,-77,-91,-79,-82,-75,-95,-93,0,3,K-11
-99,-95,-63,-94,-90,-81,-88,-88,-96,-87,-92,-95,0,3,K-11
-89,-85,-60,-91,-82,-82,-86,-87,-90,-81,-91,-93,0,3,K-11
-79,-81,-67,-87,-78,-72,-79,-82,-81,-80,-85,-85,0,3,K-11
-80,-79,-70,-86,-75,-80,-87,-82,-88,-83,-92,-89,0,3,K-11
-82,-85,-69,-87,-76,-79,-90,-91,-94,-80,-94,-96,0,3,K-11
-75,-89,-63,-89,-83,-84,-86,-81,-89,-74,-95,-90,0,3,K-11
-80,-78,-70,-85,-77,-76,-92,-83,-85,-80,-91,-94,0,3,K-11
-74,-83,-73,-88,-81,-81,-92,-78,-87,-81,-93,-91,0,3,K-11
-82,-82,-69,-82,-75,-81,-86,-91,-91,-80,-93,-98,0,3,K-11
-82,-75,-70,-78,-87,-74,-85,-82,-94,-80,-91,-92,0,3,K-11
-79,-80,-69,-85,-79,-72,-80,-83,-81,-82,-85,-85,0,3,K-11
-75,-90,-59,-89,-92,-81,-94,-83,-87,-77,-89,-94,0,3,K-11
-77,-79,-62,-96,-85,-76,-91,-81,-92,-73,-92,-91,0,3,K-11
-83,-75,-73,-87,-76,-72,-92,-86,-89,-78,-92,-92,0,3,K-11
-84,-76,-71,-85,-82,-76,-92,-79,-84,-80,-98,-95,0,3,K-11
-73,-80,-57,-90,-84,-84,-84,-85,-92,-86,-91,-98,0,3,K-11
-79,-85,-70,-83,-83,-82,-90,-89,-92,-73,-88,-89,0,3,K-11
