rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-92,-87,-93,-98,-81,-85,-89,-83,-95,-98,-98,-95,0,0,K-01
-80,-79,-73,-83,-91,-85,-86,-87,-92,-93,-95,-100,0,0,K-01
-73,-89,-84,-90,-89,-89,-91,-78,-91,-84,-90,-98,0,0,K-01
-77,-85,-76,-78,-85,-89,-83,-78,-87,-89,-100,-97,0,0,K-01
-77,-78,-88,-97,-91,-81,-90,-81,-98,-88,-96,-100,0,0,K-01
-78,-84,-81,-87,-88,-87,-87,-84,-93,-94,-100,-99,0,0,K-01
-76,-83,-72,-92,-85,-90,-89,-78,-95,-88,-100,-95,0,0,K-01
-89,-85,-74,-82,-82,-81,-88,-79,-89,-85,-90,-99,0,0,K-01
-75,-84,-83,-82,-86,-87,-97,-83,-96,-85,-92,-100,0,0,K-01
-70,-77,-84,-98,-82,-80,-89,-84,-97,-91,-99,-98,0,0,K-01
-83,-79,-91,-87,-81,-81,-87,-81,-90,-88,-96,-98,0,0,K-01
-90,-85,-73,-81,-88,-82,-89,-80,-87,-85,-89,-100,0,0,K-01
-76,-78,-83,-95,-85,-88,-91,-87,-91,-89,-90,-100,0,0,K-01
-76,-81,-76,-88,-90,-84,-87,-83,-89,-89,-94,-97,0,0,K-01
-73,-77,-83,-94,-90,-89,-89,-80,-92,-89,-94,-99,0,0,K-01
-73,-88,-84,-92,-91,-87,-89,-81,-90,-88,-94,-100,0,0,K-01
-75,-85,-82,-92,-86,-87,-97,-82,-96,-85,-97,-100,0,0,K-01
-72,-76,-93,-93,-86,-86,-88,-85,-99,-94,-96,-97,0,0,K-01
-78,-85,-83,-87,-88,-94,-88,-78,-92,-86,-96,-100,0,0,K-01
-76,-76,-96,-94,-84,-85,-89,-85,-94,-88,-92,-97,0,0,K-01
-72,-78,-83,-94,-89,-88,-90,-85,-93,-88,-93,-97,0,0,K-01
-71,-88,-83,-93,-90,-87,-90,-81,-93,-90,-91,-97,0,0,K-01
-86,-83,-84,-93,-87,-82,-88,-81,-91,-95,-97,-100,0,0,K-01
-73,-77,-82,-85,-82,-84,-85,-81,-97,-100,-98,-93,0,0,K-01
-75,-85,-81,-91,-85,-87,-99,-84,-94,-86,-94,-98,0,0,K-01
-77,-77,-74,-87,-87,-87,-85,-93,-90,-80,-96,-95,0,0,K-01
-87,-83,-86,-96,-89,-80,-85,-81,-90,-92,-96,-100,0,0,K-01
-87,-80,-73,-85,-88,-82,-84,-93,-90,-80,-97,-100,0,0,K-01
-71,-75,-95,-93,-83,-86,-99,-86,-93,-89,-93,-98,0,0,K-01
-76,-80,-73,-90,-89,-88,-84,-93,-97,-98,-91,-99,0,0,K-01
-76,-77,-83,-92,-91,-87,-89,-80,-92,-88,-94,-100,0,0,K-01
-79,-90,-84,-86,-88,-85,-85,-78,-92,-91,-93,-99,0,0,K-01
-80,-81,-72,-82,-87,-84,-88,-77,-99,-89,-94,-95,0,0,K-01
-75,-85,-79,-91,-86,-88,-95,-86,-95,-85,-92,-96,0,0,K-01
-85,-85,-83,-92,-88,-94,-85,-78,-90,-93,-91,-100,0,0,K-01
-74,-88,-84,-93,-88,-87,-90,-80,-93,-83,-91,-96,0,0,K-01
-71,-89,-84,-86,-91,-86,-89,-80,-96,-88,-91,-99,0,0,K-01
-73,-77,-83,-93,-90,-89,-90,-80,-92,-87,-93,-98,0,0,K-01
-86,-85,-84,-93,-88,-91,-88,-77,-90,-84,-97,-100,0,0,K-01
-82,-76,-74,-81,-81,-86,-90,-82,-88,-85,-89,-100,0,0,K-01
-78,-85,-73,-81,-91,-89,-86,-81,-90,-84,-97,-97,0,0,K-01
-78,-83,-84,-87,-92,-83,-99,-84,-95,-86,-92,-98,0,0,K-01
-76,-88,-83,-90,-85,-89,-90,-80,-94,-81,-92,-97,0,0,K-01
-80,-85,-72,-81,-94,-87,-86,-81,-87,-84,-97,-99,0,0,K-01
-72,-76,-95,-86,-82,-86,-90,-80,-86,-93,-96,-92,0,0,K-01
-71,-77,-95,-93,-84,-87,-90,-87,-91,-83,-91,-97,0,0,K-01
-76,-77,-97,-91,-84,-87,-98,-88,-93,-83,-89,-100,0,0,K-01
-81,-79,-73,-84,-91,-86,-86,-86,-95,-84,-97,-98,0,0,K-01
-95,-83,-72,-86,-82,-82,-89,-80,-96,-85,-90,-94,0,0,K-01
-81,-85,-74,-82,-95,-85,-87,-82,-88,-84,-95,-100,0,0,K-01
-76,-76,-89,-97,-90,-81,-88,-83,-99,-95,-96,-100,0,0,K-01
-92,-86,-98,-84,-79,-85,-92,-93,-97,-91,-97,-98,0,0,K-01
-85,-82,-84,-87,-90,-85,-87,-78,-90,-96,-97,-100,0,0,K-01
-79,-84,-71,-85,-84,-90,-83,-88,-87,-89,-98,-97,0,0,K-01
-76,-77,-83,-87,-90,-89,-90,-80,-96,-90,-93,-98,0,0,K-01
-94,-86,-73,-81,-89,-92,-85,-80,-90,-84,-100,-96,0,0,K-01
-77,-77,-95,-93,-84,-88,-90,-87,-91,-83,-91,-97,0,0,K-01
-83,-84,-89,-79,-84,-82,-89,-78,-98,-85,-89,-99,0,0,K-01
-89,-79,-72,-86,-88,-84,-85,-79,-88,-81,-93,-99,0,0,K-01
-80,-81,-71,-80,-80,-93,-87,-90,-87,-87,-96,-97,0,0,K-01
-70,-77,-84,-97,-87,-86,-97,-84,-99,-94,-97,-99,0,0,K-01
-83,-84,-82,-86,-86,-95,-95,-95,-97,-86,-93,-98,0,0,K-01
-92,-78,-94,-94,-79,-83,-98,-81,-93,-87,-97,-93,0,0,K-01
-73,-87,-83,-84,-83,-85,-90,-80,-100,-100,-99,-91,0,0,K-01
-87,-85,-84,-87,-88,-81,-86,-76,-89,-94,-95,-100,0,0,K-01
-78,-85,-81,-87,-88,-87,-87,-80,-93,-94,-100,-99,0,0,K-01
-76,-87,-84,-93,-85,-88,-90,-80,-94,-83,-90,-100,0,0,K-01
-86,-79,-73,-86,-83,-82,-84,-95,-92,-81,-92,-100,0,0,K-01
-71,-89,-84,-88,-84,-85,-90,-78,-92,-88,-91,-99,0,0,K-01
-77,-84,-74,-88,-87,-84,-84,-96,-92,-85,-93,-95,0,0,K-01
-70,-90,-84,-86,-89,-84,-91,-79,-93,-83,-91,-99,0,0,K-01
-76,-76,-84,-92,-85,-87,-90,-86,-92,-84,-91,-99,0,0,K-01
-86,-90,-75,-93,-88,-93,-89,-78,-92,-87,-93,-99,0,0,K-01
-75,-84,-81,-91,-93,-96,-96,-84,-92,-85,-99,-98,0,0,K-01
-73,-87,-84,-93,-89,-88,-90,-80,-94,-83,-90,-100,0,0,K-01
-89,-79,-73,-87,-88,-84,-85,-97,-91,-81,-94,-97,0,0,K-01
-86,-83,-74,-83,-88,-86,-83,-77,-87,-89,-96,-97,0,0,K-01
-95,-85,-72,-79,-88,-86,-88,-85,-87,-84,-96,-97,0,0,K-01
-75,-84,-75,-79,-87,-86,-83,-77,-87,-85,-98,-97,0,0,K-01
-72,-89,-84,-91,-90,-87,-90,-79,-93,-84,-92,-98,0,0,K-01
-90,-76,-82,-85,-82,-83,-89,-80,-95,-91,-96,-99,0,0,K-01
-73,-77,-82,-85,-82,-84,-85,-81,-97,-100,-98,-99,0,0,K-01
-74,-76,-89,-93,-85,-83,-96,-82,-97,-95,-97,-97,0,0,K-01
-76,-77,-87,-95,-94,-80,-98,-83,-99,-90,-97,-99,0,0,K-01
-70,-75,-93,-90,-83,-86,-96,-87,-95,-84,-91,-100,0,0,K-01
-70,-75,-84,-91,-82,-85,-90,-86,-92,-83,-92,-99,0,0,K-01
-72,-76,-89,-98,-90,-81,-90,-84,-99,-90,-96,-99,0,0,K-01
-88,-85,-77,-82,-90,-84,-88,-83,-94,-86,-99,-97,0,0,K-01
-76,-77,-89,-97,-93,-81,-86,-85,-97,-91,-96,-100,0,0,K-01
-75,-84,-82,-92,-85,-87,-96,-86,-96,-85,-100,-100,0,0,K-01
-71,-75,-85,-92,-83,-86,-90,-87,-94,-87,-92,-97,0,0,K-01
-78,-83,-83,-83,-86,-87,-98,-86,-95,-85,-91,-100,0,0,K-01
-73,-77,-85,-96,-90,-87,-86,-83,-97,-92,-96,-100,0,0,K-01
-71,-85,-94,-84,-78,-83,-85,-82,-94,-90,-97,-96,0,0,K-01
-74,-84,-76,-79,-85,-87,-83,-79,-87,-84,-96,-97,0,0,K-01
-79,-79,-75,-83,-93,-88,-87,-81,-88,-84,-94,-97,0,0,K-01
-78,-86,-87,-87,-88,-86,-90,-80,-89,-93,-95,-100,0,0,K-01
-85,-83,-75,-93,-89,-80,-89,-77,-93,-95,-94,-100,0,0,K-01
-72,-77,-86,-94,-87,-82,-98,-84,-99,-93,-96,-99,0,0,K-01
-85,-81,-84,-91,-86,-92,-87,-77,-91,-88,-91,-97,0,0,K-01
-77,-83,-74,-80,-87,-87,-90,-81,-90,-81,-99,-98,0,0,K-01
-73,-86,-99,-84,-79,-97,-86,-82,-91,-93,-97,-93,0,0,K-01
-73,-77,-84,-85,-93,-85,-89,-82,-96,-88,-97,-100,0,0,K-01
-77,-77,-84,-100,-90,-87,-90,-84,-99,-90,-96,-97,0,0,K-01
-76,-77,-84,-95,-90,-86,-88,-83,-99,-91,-100,-95,0,0,K-01
-96,-77,-81,-97,-81,-84,-88,-82,-94,-87,-99,-100,0,0,K-01
-83,-83,-90,-81,-81,-81,-89,-82,-92,-85,-95,-99,0,0,K-01
-85,-83,-75,-93,-89,-83,-89,-80,-89,-95,-94,-100,0,0,K-01
-80,-80,-81,-84,-87,-85,-83,-77,-88,-91,-97,-100,0,0,K-01
-71,-75,-94,-85,-82,-85,-90,-80,-93,-83,-91,-96,0,0,K-01
-85,-81,-86,-91,-86,-92,-87,-77,-91,-97,-91,-97,0,0,K-01
-74,-75,-89,-94,-86,-83,-87,-81,-99,-93,-97,-99,0,0,K-01
-72,-86,-95,-86,-81,-86,-90,-80,-86,-93,-96,-92,0,0,K-01
-70,-75,-94,-88,-82,-86,-89,-78,-97,-83,-92,-100,0,0,K-01
-87,-79,-73,-87,-87,-84,-85,-95,-92,-81,-93,-99,0,0,K-01
-80,-83,-74,-83,-93,-87,-86,-81,-88,-86,-95,-97,0,0,K-01
-70,-89,-84,-86,-83,-86,-100,-87,-94,-83,-92,-97,0,0,K-01
-77,-77,-84,-100,-90,-87,-90,-84,-99,-90,-96,-97,0,0,K-01
-78,-86,-76,-88,-87,-80,-90,-78,-93,-92,-96,-100,0,0,K-01
-76,-82,-76,-80,-91,-90,-84,-79,-87,-92,-96,-100,0,0,K-01
-86,-83,-86,-92,-87,-95,-85,-77,-91,-94,-93,-97,0,0,K-01
-72,-88,-83,-86,-90,-88,-88,-81,-94,-83,-94,-98,0,0,K-01
-76,-79,-84,-93,-91,-88,-89,-79,-93,-83,-93,-99,0,0,K-01
-78,-85,-87,-95,-87,-84,-89,-80,-93,-86,-96,-95,0,0,K-01
-75,-86,-81,-83,-86,-86,-96,-84,-96,-85,-93,-96,0,0,K-01
-74,-75,-84,-85,-89,-86,-98,-78,-93,-83,-91,-99,0,0,K-01
-76,-76,-87,-97,-93,-79,-96,-83,-97,-88,-95,-100,0,0,K-01
-81,-84,-78,-83,-88,-89,-82,-82,-95,-87,-92,-97,0,0,K-01
-78,-85,-83,-87,-88,-84,-88,-78,-92,-86,-96,-100,0,0,K-01
-76,-80,-73,-81,-88,-87,-84,-82,-90,-81,-97,-97,0,0,K-01
-77,-78,-81,-93,-83,-88,-90,-80,-95,-83,-92,-98,0,0,K-01
-85,-87,-84,-82,-86,-83,-98,-85,-94,-86,-93,-100,0,0,K-01
-75,-84,-83,-92,-86,-87,-97,-83,-96,-85,-92,-100,0,0,K-01
-87,-82,-81,-81,-88,-88,-87,-87,-95,-91,-98,-95,0,0,K-01
-84,-83,-81,-88,-83,-82,-95,-85,-97,-86,-96,-98,0,0,K-01
-76,-85,-80,-89,-84,-95,-99,-87,-98,-85,-99,-98,0,0,K-01
-76,-77,-97,-91,-84,-87,-98,-88,-93,-83,-89,-100,0,0,K-01
-73,-90,-84,-95,-91,-88,-89,-80,-96,-83,-92,-99,0,0,K-01
-73,-77,-88,-93,-88,-82,-96,-81,-97,-91,-99,-98,0,0,K-01
-87,-85,-78,-82,-90,-84,-89,-81,-95,-88,-96,-97,0,0,K-01
-71,-78,-84,-93,-83,-86,-91,-88,-93,-88,-91,-98,0,0,K-01
-80,-86,-73,-80,-94,-90,-86,-85,-89,-88,-95,-98,0,0,K-01
-70,-77,-85,-93,-81,-86,-90,-84,-97,-92,-100,-98,0,0,K-01
-74,-83,-76,-80,-88,-91,-87,-76,-88,-89,-97,-95,0,0,K-01
-80,-81,-72,-85,-84,-91,-89,-78,-95,-89,-99,-95,0,0,K-01
-71,-75,-95,-93,-83,-86,-99,-86,-93,-89,-91,-98,0,0,K-01
