rssi0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,x,y,label
-85,-79,-78,-86,-93,-71,-57,-79,-71,-69,-83,-81,5,4,H-06
-78,-79,-71,-72,-72,-68,-83,-86,-96,-79,-84,-98,1,4,H-02
-93,-83,-82,-98,-93,-88,-77,-91,-60,-64,-75,-64,11,4,H-12
-70,-83,-81,-91,-87,-83,-88,-69,-81,-95,-93,-96,3,0,K-04
-68,-79,-61,-82,-78,-82,-82,-83,-92,-91,-85,-90,1,3,K-12
-68,-69,-84,-74,-83,-76,-91,-82,-100,-92,-92,-103,2,0,K-03
-66,-82,-75,-80,-77,-83,-91,-84,-88,-83,-96,-98,1,2,K-08
-95,-83,-84,-98,-96,-82,-73,-76,-61,-69,-74,-77,10,4,H-11
-91,-82,-85,-98,-88,-88,-80,-91,-69,-68,-72,-75,11,4,H-12
-73,-79,-59,-83,-78,-80,-91,-80,-92,-81,-86,-86,1,3,K-12
-86,-71,-85,-96,-90,-71,-61,-80,-73,-69,-74,-83,6,4,H-07
-78,-83,-83,-75,-64,-72,-88,-84,-88,-85,-77,-91,2,7,L-08
-73,-79,-86,-79,-76,-91,-95,-79,-84,-84,-93,-97,1,2,K-08
-84,-78,-75,-91,-67,-72,-69,-96,-82,-84,-92,-92,3,6,L-03
-90,-74,-80,-85,-68,-67,-75,-86,-76,-74,-89,-100,3,5,L-01
-68,-78,-80,-84,-86,-90,-88,-77,-88,-93,-88,-92,1,1,K-05
-80,-79,-80,-80,-63,-79,-93,-90,-90,-89,-78,-97,3,7,L-05
-76,-79,-72,-72,-92,-69,-97,-86,-86,-80,-85,-92,1,4,H-02
-67,-88,-76,-81,-83,-62,-88,-85,-97,-92,-90,-98,2,3,K-13
-75,-77,-76,-77,-79,-85,-74,-89,-83,-90,-86,-97,1,8,L-09
-88,-72,-75,-94,-84,-95,-82,-76,-81,-81,-95,-93,3,2,K-10
-91,-83,-77,-96,-91,-80,-75,-79,-68,-48,-70,-82,8,4,H-09
-86,-70,-79,-98,-93,-80,-56,-81,-70,-81,-86,-85,6,4,H-07
-80,-74,-73,-95,-73,-56,-80,-78,-95,-96,-92,-83,3,4,H-04
-69,-74,-61,-80,-85,-79,-81,-83,-92,-88,-83,-89,1,3,K-12
-87,-70,-83,-85,-82,-69,-65,-82,-73,-69,-83,-93,4,4,H-05
-95,-75,-85,-85,-90,-89,-83,-76,-84,-93,-96,-94,1,0,K-02
-87,-80,-80,-90,-83,-89,-61,-80,-68,-58,-72,-85,7,4,H-08
-95,-80,-62,-80,-81,-80,-87,-80,-93,-91,-84,-85,1,3,K-12
-80,-77,-71,-72,-79,-69,-79,-84,-93,-84,-93,-90,0,4,H-01
-86,-76,-71,-91,-87,-88,-72,-80,-69,-58,-71,-86,7,4,H-08
-100,-83,-68,-77,-75,-65,-83,-94,-99,-99,-89,-90,2,3,K-13
-93,-84,-88,-98,-96,-87,-93,-89,-65,-65,-79,-64,11,4,H-12
-98,-80,-78,-97,-88,-84,-83,-89,-80,-49,-59,-74,9,4,H-10
-73,-89,-82,-82,-81,-87,-91,-78,-86,-85,-96,-99,1,2,K-08
-69,-84,-78,-73,-89,-76,-94,-77,-97,-93,-91,-93,2,0,K-03
-73,-87,-83,-87,-79,-83,-84,-97,-94,-88,-95,-94,0,0,K-01
-94,-79,-83,-87,-68,-67,-72,-85,-86,-73,-85,-98,3,5,L-01
-84,-76,-70,-86,-83,-80,-71,-86,-65,-65,-71,-85,7,4,H-08
-91,-72,-71,-87,-87,-76,-59,-82,-85,-82,-86,-97,5,4,H-06
-80,-70,-67,-77,-79,-71,-75,-84,-94,-85,-87,-84,2,4,H-03
-91,-77,-82,-86,-83,-85,-91,-81,-99,-90,-98,-98,0,0,K-01
-84,-74,-81,-86,-85,-83,-66,-76,-75,-61,-83,-94,7,4,H-08
-76,-80,-57,-90,-85,-95,-85,-88,-93,-83,-91,-89,0,3,K-11
-93,-74,-71,-70,-75,-86,-80,-85,-84,-87,-91,-97,1,7,L-07
-83,-72,-88,-88,-69,-68,-72,-79,-98,-85,-92,-86,3,5,L-01
-67,-87,-76,-73,-82,-63,-88,-86,-97,-95,-92,-101,2,3,K-13
-95,-81,-82,-98,-89,-87,-83,-87,-81,-49,-63,-74,9,4,H-10
-98,-83,-68,-93,-77,-63,-85,-82,-100,-87,-91,-91,2,3,K-13
-76,-76,-85,-90,-91,-87,-93,-84,-97,-89,-96,-97,0,0,K-01
-65,-76,-78,-95,-90,-88,-88,-78,-83,-86,-95,-95,1,1,K-05
-76,-76,-81,-90,-70,-75,-84,-85,-93,-87,-92,-99,2,8,L-10
-70,-66,-83,-77,-90,-82,-83,-70,-88,-90,-97,-99,3,0,K-04
-87,-71,-85,-97,-89,-72,-63,-80,-68,-75,-80,-84,6,4,H-07
-85,-69,-73,-80,-78,-54,-82,-83,-80,-74,-80,-89,3,4,H-04
-70,-72,-85,-77,-80,-72,-72,-88,-82,-89,-90,-93,1,8,L-09
-76,-73,-71,-73,-85,-76,-88,-80,-88,-90,-92,-98,2,2,K-09
-73,-80,-57,-82,-87,-78,-85,-91,-93,-86,-92,-89,0,3,K-11
-90,-78,-76,-89,-88,-77,-81,-77,-79,-76,-94,-93,3,2,K-10
-67,-78,-67,-89,-79,-64,-87,-83,-92,-99,-87,-93,2,3,K-13
-69,-79,-80,-86,-85,-80,-85,-68,-81,-93,-91,-93,3,0,K-04
-67,-83,-75,-78,-83,-82,-86,-86,-85,-85,-94,-99,1,2,K-08
-71,-82,-82,-88,-89,-82,-85,-72,-90,-85,-93,-100,3,1,K-07
-67,-81,-69,-76,-76,-64,-86,-83,-96,-90,-94,-91,2,3,K-13
-85,-77,-81,-87,-87,-78,-66,-87,-65,-66,-70,-77,7,4,H-08
