rmse,method,label
0,traditional,H-01
0,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
2.236067977,traditional,H-01
4,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
1,traditional,H-01
1.414213562,traditional,H-01
0,traditional,H-01
0,traditional,H-01
2,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
3.16227766,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
4,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
2.236067977,traditional,H-01
3.16227766,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.123105626,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
1.414213562,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
3.605551275,traditional,H-01
1,traditional,H-01
1.414213562,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.123105626,traditional,H-01
0,traditional,H-01
1,traditional,H-01
2.236067977,traditional,H-01
1,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
0,traditional,H-01
3.605551275,traditional,H-01
1,traditional,H-01
2.236067977,traditional,H-01
2.236067977,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
4.472135955,traditional,H-01
1,traditional,H-01
2.828427125,traditional,H-01
3.16227766,traditional,H-01
3.605551275,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
2,traditional,H-01
0,traditional,H-01
1,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
0,traditional,H-01
4.472135955,traditional,H-01
4.472135955,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
4,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
4,traditional,H-01
3.605551275,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
3.605551275,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
1,traditional,H-01
0,traditional,H-01
0,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
3.16227766,traditional,H-01
0,traditional,H-01
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
4.123105626,traditional,K-02
8.062257748,traditional,K-02
2,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
2,traditional,K-02
2,traditional,K-02
6.708203932,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
2.828427125,traditional,K-02
0,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1.414213562,traditional,K-02
1.414213562,traditional,K-02
1,traditional,K-02
8.062257748,traditional,K-02
1,traditional,K-02
0,traditional,K-02
0,traditional,K-02
0,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
2,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
2,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
2.236067977,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
0,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
1,traditional,K-02
0,traditional,K-02
0,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
0,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
0,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
2,traditional,K-02
2,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
6.708203932,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
0,traditional,K-02
2,traditional,K-02
2,traditional,K-02
0,traditional,K-02
0,traditional,K-02
0,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
0,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
2,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
7,traditional,K-02
2,traditional,K-02
0,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2.236067977,traditional,K-02
2.236067977,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1.414213562,traditional,K-02
2,traditional,K-02
0,traditional,K-02
2.828427125,traditional,K-02
1,traditional,K-02
1.414213562,traditional,K-02
2.828427125,traditional,K-02
2.236067977,traditional,K-02
2,traditional,K-02
2,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1.414213562,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
2,traditional,K-02
0,traditional,K-02
6.708203932,traditional,K-02
2.828427125,traditional,K-02
0,traditional,K-02
2.828427125,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1,traditional,K-02
2,traditional,K-02
1.414213562,traditional,K-02
0,traditional,K-02
8.062257748,traditional,K-02
2,traditional,K-02
2,traditional,K-02
2,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
0,traditional,K-02
1,traditional,K-02
4.123105626,traditional,K-02
0,traditional,K-02
1.414213562,traditional,K-02
1,traditional,K-02
1,traditional,K-02
0,traditional,K-02
2,traditional,K-02
1.414213562,traditional,K-05
1,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
2.236067977,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
0,traditional,K-05
0,traditional,K-05
2.236067977,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
0,traditional,K-05
0,traditional,K-05
7.071067812,traditional,K-05
0,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1.414213562,traditional,K-05
2.236067977,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
1,traditional,K-05
0,traditional,K-05
1,traditional,K-05
0,traditional,K-05
1,traditional,K-05
0,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1,traditional,K-05
0,traditional,K-05
2.236067977,traditional,K-05
0,traditional,K-05
0,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1,traditional,K-05
0,traditional,K-05
2.236067977,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
2,traditional,K-05
0,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
2,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1,traditional,K-05
2.236067977,traditional,K-05
1,traditional,K-05
1,traditional,K-05
0,traditional,K-05
7.071067812,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
2,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1,traditional,K-05
0,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
2.236067977,traditional,K-05
1,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
2.236067977,traditional,K-05
1.414213562,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
2.236067977,traditional,K-05
1.414213562,traditional,K-05
0,traditional,K-05
0,traditional,K-05
1.414213562,traditional,K-05
1,traditional,K-05
0,traditional,K-05
2,traditional,K-05
1,traditional,K-05
1.414213562,traditional,K-05
2.236067977,traditional,K-05
1.414213562,traditional,K-05
